BulletinID,ArticleID,Present or Missing,SUG Name,Detail,,
,4088785,Present,SUG-Mar-2018,Security Updates - Windows Server 2012 R2,,
,4089344,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4088877,Missing,SUG-Mar-2018,Security Updates - Windows Server 2012,,
,4088880,Missing,SUG-Mar-2018,Security Updates - Windows Server 2012,,
,4088876,Present,SUG-Mar-2018,Security Updates - Windows Server 2012 R2,,
,4088879,Present,SUG-Mar-2018,Security Updates - Windows Server 2012 R2,,
,4088787,Missing,SUG-Mar-2018,Security Updates - Windows Server 2016,,
,4087398,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4089453,Missing,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4089175,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4073011,Missing,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4056564,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4088827,Missing,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4088779,Missing,SUG-Mar-2018,Security Updates - Windows 10,,
4088786,4088786,Not found in SCCM,NA,NA,,
,4089187,Present,SUG-Mar-2018,Security Updates - Windows Server 2012 R2,,
,4088782,Missing,SUG-Mar-2018,Security Updates - Windows 10,,
,4089229,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4011673,Missing,SUG-Mar-2018,Security Updates - Office 2010,,
,4088776,Missing,SUG-Mar-2018,Security Updates - Windows Server 2016,,
MS11-025,2538242,Present,SUG-Mar-2018,Security Updates - Visual Studio 2005,,
MS11-025,2538243,Present,SUG-Mar-2018,Security Updates - Visual Studio 2008,,
MS11-025,2565063,Present,SUG-Mar-2018,Security Updates - Visual Studio 2010,,
MS14-026,2931356,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS15-041,3037574,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS14-046,2937610,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS14-053,2972211,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS14-053,2972215,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS13-082,2861188,Present,SUG-Mar-2018,Security Updates - Windows Server 2003, Datacenter Edition,
MS14-046,2937608,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS16-035,3135982,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4041093,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS15-118,3097988,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS15-118,3097994,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS14-046,2943357,Present,SUG-Mar-2018,Security Updates - Windows 7,,
,4074598,Present,SUG-Mar-2018,Security Updates - Windows 7,,
,4074594,Present,SUG-Mar-2018,Security Updates - Windows Server 2012 R2,,
MS15-048,3023221,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS12-034,2659262,Missing,SUG-Mar-2018,Chinese (Traditional, Taiwan) - Chinese (Simplified, PRC)
MS13-054,2817480,Present,SUG-Mar-2018,Security Updates - Office 2003,,
MS13-096,2850047,Present,SUG-Mar-2018,Security Updates - Office 2003,,
972581,972581,Not found in SCCM,NA,NA,,
972581,972581,Not found in SCCM,NA,NA,,
972581,972581,Not found in SCCM,NA,NA,,
MS09-062,971119,Present,SUG-Mar-2018,Security Updates - Report Viewer 2008,,
,4074593,Present,SUG-Mar-2018,Security Updates - Windows Server 2012,,
,4023307,Present,SUG-Mar-2018,Feature Packs - Silverlight,,
MS15-080,3072303,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS16-001,3124275,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
MS14-072,2978125,Present,SUG-Mar-2018,Security Updates - Windows 7,,
,4055532,Present,SUG-Mar-2018,Security Updates - Windows 7,,
,4041092,Present,SUG-Mar-2018,Security Updates - Windows 8.1,,
MS15-077,3077657,Present,SUG-Mar-2018,Chinese (Traditional, Taiwan) - Chinese (Simplified, PRC)
MS15-080,3078601,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
3156017,3156017,Not found in SCCM,NA,NA,,
MS14-045,2993651,Missing,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS15-039,3046482,Present,SUG-Mar-2018,English - French,,
MS13-002,2758694,Present,SUG-Mar-2018,Chinese (Traditional, Taiwan) - Chinese (Simplified, PRC)
MS15-039,3046482,Present,SUG-Mar-2018,English - French,,
973544,973544,Not found in SCCM,NA,NA,,
973551,973551,Not found in SCCM,NA,NA,,
973552,973552,Not found in SCCM,NA,NA,,
,4019109,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4055532,Present,SUG-Mar-2018,Security Updates - Windows 7,,
,4055266,Present,SUG-Mar-2018,Security Updates - Windows 8.1,,
2598041,2598041,Not found in SCCM,NA,NA,,
2598039,2598039,Not found in SCCM,NA,NA,,
MS13-082,2858302,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS14-045,2993651,Missing,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS14-045,2993651,Missing,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS14-045,2993651,Missing,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS13-052,2833941,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS16-004,2881067,Present,SUG-Mar-2018,Security Updates - Office 2007,,
MS16-004,2881029,Present,SUG-Mar-2018,Security Updates - Office 2010,,
4053440,4053440,Not found in SCCM,NA,NA,,
,4074590,Present,SUG-Mar-2018,Security Updates - Windows Server 2016,,
4074596,4074596,Not found in SCCM,NA,NA,,
,4055532,Present,SUG-Mar-2018,Security Updates - Windows 7,,
,4055267,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4055265,Present,SUG-Mar-2018,Security Updates - Windows Server 2012,,
,4074591,Missing,SUG-Mar-2018,Security Updates - Windows 10,,
MS11-025,2467173,Missing,SUG-Mar-2018,Security Updates - Visual Studio 2010,,
MS14-009,2911501,Present,SUG-Mar-2018,Security Updates - Windows 7,,
4054176,4054176,Not found in SCCM,NA,NA,,
MS13-007,2736422,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS15-118,3097989,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS15-101,3074543,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS12-073,2716513,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
MS12-054,2705219,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
MS13-058,2847927,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
MS13-052,2840631,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS13-098,2893294,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
4017094,4017094,Not found in SCCM,NA,NA,,
,4025333,Present,SUG-Mar-2018,Security Updates - Windows Server 2012 R2,,
MS14-053,2972213,Present,SUG-Mar-2018,Security Updates - Windows 8.1,,
3074162,3074162,Not found in SCCM,NA,NA,,
MS15-118,3097992,Present,SUG-Mar-2018,Security Updates - Windows 8.1,,
MS15-048,3023215,Present,SUG-Mar-2018,Security Updates - Windows 7,,
4054998,4054998,Not found in SCCM,NA,NA,,
MS12-073,2719033,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
MS14-009,2898869,Present,SUG-Mar-2018,Security Updates - Windows 7,,
4054172,4054172,Not found in SCCM,NA,NA,,
MS15-101,3074228,Present,SUG-Mar-2018,Security Updates - Windows 8.1,,
MS15-041,3037576,Present,SUG-Mar-2018,Security Updates - Windows 8.1,,
,4055269,Present,SUG-Mar-2018,Security Updates - Windows 7,,
4038792,4038792,Not found in SCCM,NA,NA,,
MS15-048,3023219,Present,SUG-Mar-2018,Security Updates - Windows 8.1,,
405499,405499,Not found in SCCM,NA,NA,,
MS14-053,2973114,Present,SUG-Mar-2018,Security Updates - Windows 8.1,,
MS15-101,3074545,Present,SUG-Mar-2018,Security Updates - Windows 8.1,,
,2871997,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
MS11-025,2538242,Present,SUG-Mar-2018,Security Updates - Visual Studio 2005,,
MS14-009,2911502,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS13-007,2736422,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS15-118,3097988,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS15-101,3074543,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS15-041,3037574,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS15-048,3023221,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS14-072,2978125,Present,SUG-Mar-2018,Security Updates - Windows 7,,
MS14-053,2972211,Present,SUG-Mar-2018,Security Updates - Windows 7,,
,3045755,Present,SUG-Mar-2018,Security Updates - Windows Server 2012 R2,,
MS12-073,2719033,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
MS12-054,2705219,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
2960358,2960358,Not found in SCCM,NA,NA,,
MS13-058,2847927,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
MS13-052,2833941,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS12-083,2765809,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
3123040,3123040,Not found in SCCM,NA,NA,,
MS13-098,2893294,Present,SUG-Mar-2018,Security Updates - Windows Server 2008 R2,,
MS16-065,MS16-065,Not found in SCCM,NA,NA,,
MS09-035,971092,Missing,SUG-Mar-2018,Security Updates - Visual Studio 2008,,
2974294,2974294,Not found in SCCM,NA,NA,,
MS17-013,4012584,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
MS14-046,2937608,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4074587,Present,SUG-Mar-2018,Security Updates - Windows 7,,
,4074597,Present,SUG-Mar-2018,Security Updates - Windows Server 2012 R2,,
,4073080,Present,SUG-Mar-2018,Security Updates - Windows Server 2008,,
,4074594,Present,SUG-Mar-2018,Security Updates - Windows Server 2012 R2,,
,4074592,Missing,SUG-Mar-2018,Security Updates - Windows 10,,
,4074588,Missing,SUG-Mar-2018,Security Updates - Windows 10,,
,4074590,Present,SUG-Mar-2018,Security Updates - Windows Server 2016,,
,4074591,Missing,SUG-Mar-2018,Security Updates - Windows 10,,
4074596,4074596,Not found in SCCM,NA,NA,,
