Server,SCCM_Status,OS
ABN-CMB-APP-D09.CMB.tzghosting.net,Installed,
ABN-CMB-APP-D09.CMB.tzghosting.net,Installed,
ABN-CMB-APP-D10.CMB.tzghosting.net,Installed,
ABN-CMB-APP-D11.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T47.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T48.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T49.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T50.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T51.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T52.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T53.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T54.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T56.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T57.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T58.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T59.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T60.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T61.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T62.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T63.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T64.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T65.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T66.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T67.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T68.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T69.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T70.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T71.CMB.tzghosting.net,Installed,
ABN-CMB-APP-T72.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-D03.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-D04.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T14.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T15.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T16.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T17.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T18.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T19.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T20.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T21.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T22.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T23.CMB.tzghosting.net,Installed,
ABN-CMB-FHG-T24.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-D03.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-D03.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T15.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T16.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T17.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T18.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T19.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T20.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T21.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T22.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T23.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T24.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T25.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T26.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T27.CMB.tzghosting.net,Installed,
ABN-CMB-FXI-T28.CMB.tzghosting.net,Installed,
ABN-CMB-SQL-12.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-D04.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-D05.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T42.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T43.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T44.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T45.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T46.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T47.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T48.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T49.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T50.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T51.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T52.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T53.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T54.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T55.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T56.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T57.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T58.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T59.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T60.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T61.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T62.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T63.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T64.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T65.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T66.CMB.tzghosting.net,Installed,
ABN-CMB-WAS-T67.CMB.tzghosting.net,Installed,
ABN-CMB-WEB-T34.CMB.tzghosting.net,Installed,
ABN-CMB-WEB-T35.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-D07.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-D08.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-D09.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T53.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T54.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T55.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T56.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T57.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T58.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T59.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T60.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T61.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T62.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T63.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T64.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T65.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T66.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T67.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T68.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T69.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T70.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T71.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T72.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T73.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T75.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T76.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T77.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T78.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T79.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T80.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T81.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T82.CMB.tzghosting.net,Installed,
ABN-CMB-XEN-T83.CMB.tzghosting.net,Installed,
